neighbourhood,district,bathrooms,rooms,price
Palacio,Centro,2.0,1,$200.00
Sol,Centro,1.0,1,$118.00
Embajadores,Centro,1.0,2,$64.00
Trafalgar,Chamberí,2.0,2,"$1,200.00"
Justicia,Centro,1.0,1,$159.00
Sol,Centro,2.0,4,$174.00
Embajadores,Centro,1.0,1,$158.00
Universidad,Centro,2.0,1,$900.00
Palacio,Centro,1.0,1,$130.00
Palacio,Centro,2.0,2,$85.00
Justicia,Centro,1.0,1,$64.00
Embajadores,Centro,1.0,2,$253.00
Palacio,Centro,1.0,1,$120.00
Embajadores,Centro,1.0,1,$93.00
Palacio,Centro,1.0,2,$207.00
Cuatro Caminos,Tetuán,1.0,2,$140.00
Recoletos,Salamanca,2.0,3,$593.00
Sol,Centro,5.0,8,$154.00
Universidad,Centro,1.0,1,$122.00
Sol,Centro,1.0,1,$130.00
Universidad,Centro,2.0,2,$106.00
Universidad,Centro,1.0,1,"$1,000.00"
Cortes,Centro,2.0,0,$136.00
Cortes,Centro,1.0,2,$160.00
Delicias,Arganzuela,1.0,1,$100.00
Embajadores,Centro,1.0,1,$125.00
Sol,Centro,2.0,2,$230.00
Cortes,Centro,1.0,2,$156.00
Justicia,Centro,1.0,0,$97.00
Bellas Vistas,Tetuán,1.0,1,$44.00
Justicia,Centro,2.0,2,$180.00
Arapiles,Chamberí,1.0,1,$95.00
Justicia,Centro,1.0,1,$137.00
Valverde,Fuencarral - El Pardo,2.0,2,$168.00
Embajadores,Centro,1.0,0,"$4,720.00"
Embajadores,Centro,1.0,1,$70.00
Justicia,Centro,1.0,1,$80.00
Lista,Salamanca,1.0,2,$122.00
Goya,Salamanca,1.0,1,$85.00
Recoletos,Salamanca,2.0,3,$793.00
Comillas,Carabanchel,1.0,3,$245.00
Fontarrón,Moratalaz,2.0,0,$900.00
San Fermín,Usera,1.0,1,$104.00
Rios Rosas,Chamberí,1.0,1,$150.00
Justicia,Centro,1.0,1,$265.00
Palacio,Centro,1.0,1,$85.00
Sol,Centro,1.0,1,$160.00
Palomeras Bajas,Puente de Vallecas,1.0,2,"$21,000.00"
Embajadores,Centro,1.0,1,$114.00
San Isidro,Carabanchel,1.0,1,$82.00
Sol,Centro,2.0,2,$163.00
Almagro,Chamberí,1.0,1,$130.00
Adelfas,Retiro,1.0,0,$71.00
Guindalera,Salamanca,1.0,0,$174.00
Palos de Moguer,Arganzuela,2.0,3,$250.00
Embajadores,Centro,1.0,1,$69.00
El Goloso,Fuencarral - El Pardo,1.0,1,$53.00
Palacio,Centro,1.0,1,$62.00
Valdefuentes,Hortaleza,1.0,2,$550.00
Recoletos,Salamanca,1.0,1,$106.00
Almagro,Chamberí,1.0,1,$125.00
Valdefuentes,Hortaleza,2.0,3,"$7,999.00"
Goya,Salamanca,1.0,0,$56.00
Sol,Centro,1.0,1,$200.00
Casco Histórico de Barajas,Barajas,2.0,1,$120.00
San Andrés,Villaverde,1.0,1,$84.00
El Goloso,Fuencarral - El Pardo,2.0,3,$90.00
Quintana,Ciudad Lineal,1.0,1,$78.00
Los Rosales,Villaverde,2.0,0,$82.00
Cuatro Caminos,Tetuán,2.0,2,$180.00
Orcasitas,Usera,1.0,1,$105.00
Palos de Moguer,Arganzuela,1.0,3,$250.00
Zofío,Usera,1.0,1,$51.00
Embajadores,Centro,1.0,1,$112.00
Puerta Bonita,Carabanchel,2.0,2,$78.00
Puerta Bonita,Carabanchel,1.0,1,$93.00
Cortes,Centro,1.0,1,$99.00
Canillejas,San Blas - Canillejas,1.0,2,$86.00
Rejas,San Blas - Canillejas,1.0,2,$200.00
Embajadores,Centro,1.0,1,$123.00
Embajadores,Centro,1.0,1,$89.00
Sol,Centro,2.0,2,$140.00
Justicia,Centro,1.0,1,$178.00
Cortes,Centro,2.0,2,$199.00
Universidad,Centro,1.0,1,$103.00
La Paz,Fuencarral - El Pardo,2.0,3,$108.00
Justicia,Centro,1.0,0,$125.00
Palacio,Centro,1.0,1,$89.00
Universidad,Centro,1.0,2,$169.00
Embajadores,Centro,1.0,2,$500.00
Delicias,Arganzuela,1.0,2,$120.00
Palacio,Centro,2.0,2,$242.00
Sol,Centro,2.0,2,$200.00
Sol,Centro,2.0,2,$185.00
Aravaca,Moncloa - Aravaca,1.0,2,$83.00
Aravaca,Moncloa - Aravaca,2.0,2,$95.00
Orcasitas,Usera,1.0,1,$114.00
Palacio,Centro,1.0,0,$107.00
Ciudad Universitaria,Moncloa - Aravaca,2.0,1,$102.00
Valdeacederas,Tetuán,1.0,1,$73.00
Piovera,Hortaleza,1.0,1,$85.00
Valverde,Fuencarral - El Pardo,1.0,3,$150.00
Valdemarín,Moncloa - Aravaca,1.0,2,$210.00
Arcos,San Blas - Canillejas,1.0,2,$40.00
Orcasur,Usera,1.0,0,$100.00
Quintana,Ciudad Lineal,1.0,1,$87.00
Quintana,Ciudad Lineal,1.0,1,$153.00
Atocha,Arganzuela,1.0,1,$73.00
Castilla,Chamartín,2.0,3,$36.00
